date,datetime,cash_type,card,money,coffee_name
2024-11-01,2024-11-01 08:24:03.401,card,ANON-0000-0000-0842,35.76,Cocoa
2024-11-01,2024-11-01 08:30:57.642,card,ANON-0000-0000-0304,25.96,Americano
2024-11-01,2024-11-01 10:54:50.375,card,ANON-0000-0000-0612,35.76,Latte
2024-11-01,2024-11-01 12:41:26.535,card,ANON-0000-0000-0012,35.76,Cocoa
2024-11-01,2024-11-01 12:42:18.438,card,ANON-0000-0000-0012,35.76,Cocoa
2024-11-01,2024-11-01 15:55:42.424,card,ANON-0000-0000-0845,25.96,Cortado
2024-11-01,2024-11-01 22:41:55.896,card,ANON-0000-0000-0695,30.86,Americano with Milk
2024-11-02,2024-11-02 08:19:44.324,card,ANON-0000-0000-0141,25.96,Cortado
2024-11-02,2024-11-02 10:25:45.967,card,ANON-0000-0000-0828,35.76,Cocoa
2024-11-02,2024-11-02 10:33:09.562,card,ANON-0000-0000-0097,30.86,Americano with Milk
2024-11-02,2024-11-02 14:54:14.648,card,ANON-0000-0000-0846,30.86,Americano with Milk
2024-11-02,2024-11-02 16:24:15.855,card,ANON-0000-0000-0507,35.76,Hot Chocolate
2024-11-02,2024-11-02 16:25:57.012,card,ANON-0000-0000-0507,35.76,Latte
2024-11-02,2024-11-02 16:37:05.005,card,ANON-0000-0000-0847,35.76,Latte
2024-11-02,2024-11-02 18:18:27.180,card,ANON-0000-0000-0620,30.86,Americano with Milk
2024-11-02,2024-11-02 18:58:23.522,card,ANON-0000-0000-0848,25.96,Americano
2024-11-03,2024-11-03 08:23:00.362,card,ANON-0000-0000-0141,25.96,Cortado
2024-11-03,2024-11-03 09:47:06.025,card,ANON-0000-0000-0040,30.86,Americano with Milk
2024-11-03,2024-11-03 09:48:12.017,card,ANON-0000-0000-0040,30.86,Americano with Milk
2024-11-03,2024-11-03 13:13:51.404,card,ANON-0000-0000-0849,35.76,Latte
2024-11-03,2024-11-03 13:14:56.673,card,ANON-0000-0000-0849,30.86,Americano with Milk
2024-11-03,2024-11-03 13:18:24.742,card,ANON-0000-0000-0228,35.76,Cocoa
2024-11-03,2024-11-03 13:44:18.516,card,ANON-0000-0000-0850,25.96,Americano
2024-11-03,2024-11-03 13:59:01.077,card,ANON-0000-0000-0851,30.86,Americano with Milk
2024-11-03,2024-11-03 16:15:17.705,card,ANON-0000-0000-0622,35.76,Hot Chocolate
2024-11-03,2024-11-03 16:16:43.547,card,ANON-0000-0000-0622,35.76,Hot Chocolate
2024-11-03,2024-11-03 16:20:37.116,card,ANON-0000-0000-0852,25.96,Americano
2024-11-03,2024-11-03 16:21:46.055,card,ANON-0000-0000-0852,25.96,Americano
2024-11-03,2024-11-03 20:26:14.631,card,ANON-0000-0000-0225,35.76,Cocoa
2024-11-04,2024-11-04 07:43:36.879,card,ANON-0000-0000-0696,35.76,Latte
2024-11-04,2024-11-04 08:37:33.340,card,ANON-0000-0000-0276,35.76,Latte
2024-11-04,2024-11-04 08:38:58.864,card,ANON-0000-0000-0276,30.86,Americano with Milk
2024-11-04,2024-11-04 12:33:35.786,card,ANON-0000-0000-0853,25.96,Americano
2024-11-04,2024-11-04 12:35:06.061,card,ANON-0000-0000-0854,30.86,Americano with Milk
2024-11-04,2024-11-04 14:44:38.053,card,ANON-0000-0000-0012,35.76,Cocoa
2024-11-04,2024-11-04 14:45:20.025,card,ANON-0000-0000-0012,35.76,Cocoa
2024-11-05,2024-11-05 07:49:31.614,card,ANON-0000-0000-0696,35.76,Cocoa
2024-11-05,2024-11-05 09:05:41.810,card,ANON-0000-0000-0276,30.86,Americano with Milk
2024-11-05,2024-11-05 09:12:12.324,card,ANON-0000-0000-0731,35.76,Cappuccino
2024-11-05,2024-11-05 09:13:40.356,card,ANON-0000-0000-0731,30.86,Americano with Milk
2024-11-05,2024-11-05 10:41:44.251,card,ANON-0000-0000-0012,30.86,Americano with Milk
2024-11-05,2024-11-05 11:47:29.859,card,ANON-0000-0000-0855,35.76,Cocoa
2024-11-05,2024-11-05 11:48:22.484,card,ANON-0000-0000-0856,35.76,Latte
2024-11-05,2024-11-05 14:36:37.856,card,ANON-0000-0000-0857,35.76,Latte
2024-11-05,2024-11-05 14:41:48.048,card,ANON-0000-0000-0858,35.76,Latte
2024-11-05,2024-11-05 18:52:56.274,card,ANON-0000-0000-0455,35.76,Cappuccino
2024-11-05,2024-11-05 18:54:10.727,card,ANON-0000-0000-0455,35.76,Cappuccino
2024-11-05,2024-11-05 18:55:18.626,card,ANON-0000-0000-0455,35.76,Cappuccino
2024-11-05,2024-11-05 21:40:44.746,card,ANON-0000-0000-0859,35.76,Cocoa
2024-11-05,2024-11-05 21:42:02.751,card,ANON-0000-0000-0859,35.76,Cocoa
2024-11-05,2024-11-05 21:54:19.647,card,ANON-0000-0000-0722,35.76,Hot Chocolate
2024-11-05,2024-11-05 22:05:50.601,card,ANON-0000-0000-0637,35.76,Hot Chocolate
2024-11-05,2024-11-05 22:06:38.973,card,ANON-0000-0000-0637,30.86,Americano with Milk
2024-11-06,2024-11-06 08:11:25.120,card,ANON-0000-0000-0570,35.76,Latte
2024-11-06,2024-11-06 11:45:31.173,card,ANON-0000-0000-0860,21.06,Espresso
2024-11-06,2024-11-06 13:15:32.862,card,ANON-0000-0000-0742,25.96,Americano
2024-11-06,2024-11-06 15:44:16.495,card,ANON-0000-0000-0622,35.76,Cappuccino
2024-11-06,2024-11-06 16:00:43.813,card,ANON-0000-0000-0861,35.76,Latte
2024-11-06,2024-11-06 16:02:05.113,card,ANON-0000-0000-0862,35.76,Cappuccino
2024-11-06,2024-11-06 18:40:42.855,card,ANON-0000-0000-0863,35.76,Hot Chocolate
2024-11-06,2024-11-06 18:41:30.653,card,ANON-0000-0000-0863,35.76,Hot Chocolate
2024-11-07,2024-11-07 12:17:15.993,card,ANON-0000-0000-0864,35.76,Latte
2024-11-07,2024-11-07 15:50:10.558,card,ANON-0000-0000-0865,25.96,Americano
2024-11-07,2024-11-07 16:39:39.407,card,ANON-0000-0000-0866,25.96,Americano
2024-11-07,2024-11-07 18:17:33.734,card,ANON-0000-0000-0828,35.76,Cocoa
2024-11-07,2024-11-07 19:20:14.752,card,ANON-0000-0000-0867,35.76,Hot Chocolate
2024-11-07,2024-11-07 19:21:38.023,card,ANON-0000-0000-0867,35.76,Latte
2024-11-07,2024-11-07 20:02:30.672,card,ANON-0000-0000-0507,35.76,Latte
2024-11-08,2024-11-08 09:05:42.114,card,ANON-0000-0000-0276,30.86,Americano with Milk
2024-11-08,2024-11-08 09:47:30.900,card,ANON-0000-0000-0375,25.96,Americano
2024-11-08,2024-11-08 09:48:59.733,card,ANON-0000-0000-0375,25.96,Americano
2024-11-08,2024-11-08 11:47:11.390,card,ANON-0000-0000-0494,35.76,Cappuccino
2024-11-08,2024-11-08 13:25:13.447,card,ANON-0000-0000-0868,35.76,Latte
2024-11-08,2024-11-08 13:26:17.612,card,ANON-0000-0000-0868,35.76,Latte
2024-11-08,2024-11-08 16:33:02.884,card,ANON-0000-0000-0869,30.86,Americano with Milk
2024-11-08,2024-11-08 16:55:28.043,card,ANON-0000-0000-0870,30.86,Americano with Milk
2024-11-08,2024-11-08 20:13:32.167,card,ANON-0000-0000-0871,35.76,Hot Chocolate
2024-11-08,2024-11-08 20:14:24.290,card,ANON-0000-0000-0872,35.76,Hot Chocolate
2024-11-08,2024-11-08 20:15:20.000,card,ANON-0000-0000-0872,35.76,Hot Chocolate
2024-11-08,2024-11-08 22:27:09.667,card,ANON-0000-0000-0690,35.76,Latte
2024-11-09,2024-11-09 10:08:18.836,card,ANON-0000-0000-0276,30.86,Americano with Milk
2024-11-09,2024-11-09 11:02:08.001,card,ANON-0000-0000-0141,25.96,Cortado
