date,datetime,cash_type,card,money,coffee_name
2024-10-01,2024-10-01 07:47:08.449,card,ANON-0000-0000-0696,35.76,Latte
2024-10-01,2024-10-01 09:48:30.777,card,ANON-0000-0000-0276,30.86,Americano with Milk
2024-10-01,2024-10-01 10:02:26.778,card,ANON-0000-0000-0333,30.86,Americano with Milk
2024-10-01,2024-10-01 10:03:47.115,card,ANON-0000-0000-0333,30.86,Americano with Milk
2024-10-01,2024-10-01 11:55:31.853,card,ANON-0000-0000-0697,30.86,Americano with Milk
2024-10-01,2024-10-01 12:12:48.446,card,ANON-0000-0000-0698,30.86,Americano with Milk
2024-10-01,2024-10-01 12:14:23.382,card,ANON-0000-0000-0698,30.86,Americano with Milk
2024-10-01,2024-10-01 14:17:34.957,card,ANON-0000-0000-0699,25.96,Americano
2024-10-01,2024-10-01 14:18:52.558,card,ANON-0000-0000-0699,30.86,Americano with Milk
2024-10-01,2024-10-01 16:08:38.999,card,ANON-0000-0000-0637,35.76,Hot Chocolate
2024-10-01,2024-10-01 16:41:54.481,card,ANON-0000-0000-0700,25.96,Americano
2024-10-01,2024-10-01 18:08:26.545,card,ANON-0000-0000-0701,35.76,Latte
2024-10-01,2024-10-01 18:23:11.460,card,ANON-0000-0000-0702,35.76,Latte
2024-10-01,2024-10-01 18:24:14.252,card,ANON-0000-0000-0702,35.76,Hot Chocolate
2024-10-01,2024-10-01 20:03:22.143,card,ANON-0000-0000-0585,35.76,Hot Chocolate
2024-10-02,2024-10-02 07:57:18.793,card,ANON-0000-0000-0703,35.76,Latte
2024-10-02,2024-10-02 08:42:44.642,card,ANON-0000-0000-0141,25.96,Cortado
2024-10-02,2024-10-02 09:19:17.053,card,ANON-0000-0000-0276,30.86,Americano with Milk
2024-10-02,2024-10-02 10:22:01.523,card,ANON-0000-0000-0375,35.76,Latte
2024-10-02,2024-10-02 10:23:55.272,card,ANON-0000-0000-0704,30.86,Americano with Milk
2024-10-02,2024-10-02 11:28:53.893,card,ANON-0000-0000-0705,35.76,Cappuccino
2024-10-02,2024-10-02 15:13:42.142,card,ANON-0000-0000-0706,35.76,Cappuccino
2024-10-02,2024-10-02 18:31:07.153,card,ANON-0000-0000-0255,35.76,Hot Chocolate
2024-10-02,2024-10-02 22:18:55.379,card,ANON-0000-0000-0637,35.76,Hot Chocolate
2024-10-02,2024-10-02 22:19:40.694,card,ANON-0000-0000-0637,35.76,Hot Chocolate
2024-10-02,2024-10-02 22:20:23.651,card,ANON-0000-0000-0707,35.76,Hot Chocolate
2024-10-03,2024-10-03 13:47:35.922,card,ANON-0000-0000-0708,35.76,Cocoa
2024-10-03,2024-10-03 15:12:05.160,card,ANON-0000-0000-0709,30.86,Americano with Milk
2024-10-03,2024-10-03 20:12:57.761,card,ANON-0000-0000-0710,25.96,Cortado
2024-10-03,2024-10-03 20:14:04.781,card,ANON-0000-0000-0710,35.76,Hot Chocolate
2024-10-03,2024-10-03 21:21:06.296,card,ANON-0000-0000-0637,35.76,Hot Chocolate
2024-10-03,2024-10-03 21:21:46.778,card,ANON-0000-0000-0637,35.76,Hot Chocolate
2024-10-03,2024-10-03 21:29:03.390,card,ANON-0000-0000-0711,35.76,Cappuccino
2024-10-03,2024-10-03 21:31:00.451,card,ANON-0000-0000-0712,35.76,Hot Chocolate
2024-10-04,2024-10-04 08:44:00.873,card,ANON-0000-0000-0440,25.96,Americano
2024-10-04,2024-10-04 08:45:38.952,card,ANON-0000-0000-0440,25.96,Americano
2024-10-04,2024-10-04 09:30:22.038,card,ANON-0000-0000-0004,30.86,Americano with Milk
2024-10-04,2024-10-04 09:31:27.071,card,ANON-0000-0000-0003,25.96,Americano
2024-10-04,2024-10-04 09:53:58.577,card,ANON-0000-0000-0650,25.96,Cortado
2024-10-04,2024-10-04 09:55:04.557,card,ANON-0000-0000-0650,25.96,Cortado
2024-10-04,2024-10-04 17:35:14.809,card,ANON-0000-0000-0713,35.76,Latte
2024-10-04,2024-10-04 17:42:22.181,card,ANON-0000-0000-0714,35.76,Hot Chocolate
2024-10-04,2024-10-04 17:44:36.370,card,ANON-0000-0000-0714,35.76,Cocoa
2024-10-05,2024-10-05 09:00:46.861,card,ANON-0000-0000-0141,25.96,Cortado
2024-10-05,2024-10-05 09:01:42.669,card,ANON-0000-0000-0141,25.96,Cortado
