date,datetime,cash_type,card,money,coffee_name
2024-12-01,2024-12-01 10:15:31.697,card,ANON-0000-0000-0040,30.86,Americano with Milk
2024-12-01,2024-12-01 10:16:31.924,card,ANON-0000-0000-0040,30.86,Americano with Milk
2024-12-01,2024-12-01 10:22:46.588,card,ANON-0000-0000-0385,30.86,Americano with Milk
2024-12-01,2024-12-01 14:34:22.870,card,ANON-0000-0000-0958,30.86,Americano with Milk
2024-12-01,2024-12-01 15:09:12.653,card,ANON-0000-0000-0959,35.76,Cocoa
2024-12-01,2024-12-01 15:09:56.961,card,ANON-0000-0000-0959,35.76,Cocoa
2024-12-01,2024-12-01 15:43:02.293,card,ANON-0000-0000-0960,35.76,Cappuccino
2024-12-01,2024-12-01 15:56:31.215,card,ANON-0000-0000-0961,35.76,Latte
2024-12-01,2024-12-01 15:57:49.366,card,ANON-0000-0000-0962,35.76,Latte
2024-12-01,2024-12-01 16:32:59.481,card,ANON-0000-0000-0963,35.76,Latte
2024-12-01,2024-12-01 16:34:30.047,card,ANON-0000-0000-0964,35.76,Latte
2024-12-01,2024-12-01 17:10:23.576,card,ANON-0000-0000-0965,30.86,Americano with Milk
2024-12-01,2024-12-01 17:11:32.019,card,ANON-0000-0000-0965,30.86,Americano with Milk
2024-12-01,2024-12-01 18:38:28.685,card,ANON-0000-0000-0966,30.86,Americano with Milk
2024-12-02,2024-12-02 07:50:36.572,card,ANON-0000-0000-0696,35.76,Latte
2024-12-02,2024-12-02 07:51:59.373,card,ANON-0000-0000-0967,25.96,Americano
2024-12-02,2024-12-02 08:21:29.576,card,ANON-0000-0000-0276,30.86,Americano with Milk
2024-12-02,2024-12-02 08:53:14.454,card,ANON-0000-0000-0968,35.76,Cocoa
2024-12-02,2024-12-02 11:04:25.197,card,ANON-0000-0000-0141,25.96,Cortado
2024-12-02,2024-12-02 15:28:23.946,card,ANON-0000-0000-0969,21.06,Espresso
2024-12-02,2024-12-02 16:12:23.920,card,ANON-0000-0000-0970,35.76,Cappuccino
2024-12-02,2024-12-02 17:34:21.695,card,ANON-0000-0000-0971,25.96,Americano
2024-12-02,2024-12-02 18:00:32.300,card,ANON-0000-0000-0972,35.76,Cappuccino
2024-12-03,2024-12-03 08:11:19.139,card,ANON-0000-0000-0570,35.76,Latte
2024-12-03,2024-12-03 09:23:30.556,card,ANON-0000-0000-0276,30.86,Americano with Milk
2024-12-03,2024-12-03 09:24:27.071,card,ANON-0000-0000-0276,30.86,Americano with Milk
2024-12-03,2024-12-03 11:17:58.416,card,ANON-0000-0000-0973,25.96,Americano
2024-12-03,2024-12-03 11:42:07.580,card,ANON-0000-0000-0974,30.86,Americano with Milk
2024-12-03,2024-12-03 11:43:15.634,card,ANON-0000-0000-0819,30.86,Americano with Milk
2024-12-03,2024-12-03 11:45:54.433,card,ANON-0000-0000-0819,30.86,Americano with Milk
2024-12-03,2024-12-03 20:50:55.752,card,ANON-0000-0000-0975,35.76,Cocoa
2024-12-03,2024-12-03 21:33:16.867,card,ANON-0000-0000-0685,35.76,Latte
2024-12-03,2024-12-03 21:34:13.125,card,ANON-0000-0000-0685,35.76,Cappuccino
2024-12-03,2024-12-03 21:35:18.853,card,ANON-0000-0000-0685,35.76,Hot Chocolate
2024-12-03,2024-12-03 22:19:13.773,card,ANON-0000-0000-0976,30.86,Americano with Milk
2024-12-03,2024-12-03 22:21:42.084,card,ANON-0000-0000-0206,35.76,Cappuccino
2024-12-04,2024-12-04 08:32:47.920,card,ANON-0000-0000-0141,25.96,Cortado
2024-12-04,2024-12-04 08:50:30.264,card,ANON-0000-0000-0977,35.76,Latte
2024-12-04,2024-12-04 08:52:15.008,card,ANON-0000-0000-0978,35.76,Latte
2024-12-04,2024-12-04 09:04:14.145,card,ANON-0000-0000-0979,25.96,Americano
2024-12-04,2024-12-04 10:23:01.388,card,ANON-0000-0000-0276,30.86,Americano with Milk
2024-12-04,2024-12-04 10:24:07.990,card,ANON-0000-0000-0276,30.86,Americano with Milk
2024-12-04,2024-12-04 10:26:57.751,card,ANON-0000-0000-0980,30.86,Americano with Milk
2024-12-04,2024-12-04 10:29:47.597,card,ANON-0000-0000-0783,35.76,Hot Chocolate
2024-12-04,2024-12-04 11:45:57.723,card,ANON-0000-0000-0981,30.86,Americano with Milk
2024-12-04,2024-12-04 14:33:54.707,card,ANON-0000-0000-0982,35.76,Hot Chocolate
2024-12-05,2024-12-05 08:53:48.287,card,ANON-0000-0000-0983,25.96,Americano
2024-12-05,2024-12-05 09:20:28.835,card,ANON-0000-0000-0141,25.96,Cortado
2024-12-05,2024-12-05 10:02:51.253,card,ANON-0000-0000-0276,30.86,Americano with Milk
2024-12-05,2024-12-05 10:05:05.538,card,ANON-0000-0000-0276,30.86,Americano with Milk
2024-12-05,2024-12-05 11:31:58.259,card,ANON-0000-0000-0579,35.76,Latte
2024-12-05,2024-12-05 11:50:44.557,card,ANON-0000-0000-0984,25.96,Americano
2024-12-05,2024-12-05 14:30:58.342,card,ANON-0000-0000-0985,35.76,Cappuccino
2024-12-05,2024-12-05 15:21:19.466,card,ANON-0000-0000-0906,35.76,Latte
2024-12-05,2024-12-05 16:02:10.015,card,ANON-0000-0000-0771,35.76,Latte
2024-12-06,2024-12-06 11:42:18.498,card,ANON-0000-0000-0906,35.76,Latte
2024-12-06,2024-12-06 16:31:58.025,card,ANON-0000-0000-0938,35.76,Hot Chocolate
2024-12-06,2024-12-06 22:30:33.276,card,ANON-0000-0000-0731,35.76,Latte
2024-12-06,2024-12-06 22:31:30.002,card,ANON-0000-0000-0731,35.76,Hot Chocolate
2024-12-07,2024-12-07 11:17:10.143,card,ANON-0000-0000-0986,30.86,Americano with Milk
2024-12-07,2024-12-07 14:16:42.893,card,ANON-0000-0000-0987,25.96,Americano
2024-12-07,2024-12-07 15:44:04.861,card,ANON-0000-0000-0409,35.76,Latte
2024-12-07,2024-12-07 19:11:13.492,card,ANON-0000-0000-0206,35.76,Cappuccino
2024-12-07,2024-12-07 22:00:09.994,card,ANON-0000-0000-0988,30.86,Americano with Milk
2024-12-07,2024-12-07 22:28:17.088,card,ANON-0000-0000-0989,25.96,Americano
2024-12-08,2024-12-08 08:29:25.273,card,ANON-0000-0000-0141,25.96,Cortado
2024-12-08,2024-12-08 10:42:38.160,card,ANON-0000-0000-0787,35.76,Latte
2024-12-08,2024-12-08 10:43:42.726,card,ANON-0000-0000-0787,35.76,Cappuccino
2024-12-08,2024-12-08 12:51:40.875,card,ANON-0000-0000-0990,25.96,Cortado
2024-12-08,2024-12-08 13:02:36.202,card,ANON-0000-0000-0991,30.86,Americano with Milk
2024-12-08,2024-12-08 13:03:38.720,card,ANON-0000-0000-0991,30.86,Americano with Milk
2024-12-08,2024-12-08 17:26:29.292,card,ANON-0000-0000-0206,35.76,Cappuccino
