date,datetime,cash_type,card,money,coffee_name
2024-06-01,2024-06-01 08:27:01.745,card,ANON-0000-0000-0141,27.92,Cortado
2024-06-01,2024-06-01 09:48:24.750,card,ANON-0000-0000-0232,37.72,Latte
2024-06-01,2024-06-01 11:38:09.371,card,ANON-0000-0000-0250,37.72,Latte
2024-06-01,2024-06-01 14:28:53.739,card,ANON-0000-0000-0097,32.82,Americano with Milk
2024-06-01,2024-06-01 18:20:12.780,card,ANON-0000-0000-0251,32.82,Americano with Milk
2024-06-01,2024-06-01 18:21:15.363,card,ANON-0000-0000-0251,32.82,Americano with Milk
2024-06-01,2024-06-01 20:50:10.488,card,ANON-0000-0000-0154,37.72,Cappuccino
2024-06-01,2024-06-01 20:51:13.565,card,ANON-0000-0000-0154,37.72,Cappuccino
2024-06-01,2024-06-01 20:54:59.267,cash,,39.0,Cocoa
2024-06-01,2024-06-01 20:59:09.689,card,ANON-0000-0000-0252,37.72,Cocoa
2024-06-01,2024-06-01 21:51:04.971,card,ANON-0000-0000-0009,32.82,Americano with Milk
2024-06-02,2024-06-02 20:03:25.799,card,ANON-0000-0000-0009,37.72,Latte
2024-06-02,2024-06-02 20:24:02.449,card,ANON-0000-0000-0040,32.82,Americano with Milk
2024-06-02,2024-06-02 20:25:07.238,card,ANON-0000-0000-0040,37.72,Cappuccino
2024-06-02,2024-06-02 21:07:20.531,card,ANON-0000-0000-0097,32.82,Americano with Milk
2024-06-02,2024-06-02 21:30:12.430,card,ANON-0000-0000-0253,37.72,Latte
2024-06-02,2024-06-02 22:43:10.636,cash,,34.0,Americano with Milk
2024-06-03,2024-06-03 10:12:04.141,card,ANON-0000-0000-0001,37.72,Latte
2024-06-03,2024-06-03 10:27:49.797,card,ANON-0000-0000-0191,37.72,Latte
2024-06-03,2024-06-03 14:31:42.338,card,ANON-0000-0000-0025,37.72,Cappuccino
2024-06-03,2024-06-03 14:33:00.952,card,ANON-0000-0000-0024,32.82,Americano with Milk
2024-06-03,2024-06-03 14:34:06.922,card,ANON-0000-0000-0009,37.72,Latte
2024-06-03,2024-06-03 21:42:51.734,cash,,34.0,Americano with Milk
2024-06-03,2024-06-03 21:43:37.471,cash,,34.0,Americano with Milk
2024-06-04,2024-06-04 09:23:42.898,card,ANON-0000-0000-0141,27.92,Cortado
2024-06-04,2024-06-04 10:27:13.975,card,ANON-0000-0000-0097,32.82,Americano with Milk
2024-06-04,2024-06-04 12:02:10.213,card,ANON-0000-0000-0254,37.72,Latte
2024-06-04,2024-06-04 12:05:29.186,card,ANON-0000-0000-0254,37.72,Hot Chocolate
2024-06-04,2024-06-04 15:30:32.455,card,ANON-0000-0000-0255,37.72,Latte
2024-06-04,2024-06-04 17:46:36.661,card,ANON-0000-0000-0192,27.92,Cortado
2024-06-04,2024-06-04 17:47:28.847,card,ANON-0000-0000-0192,37.72,Cappuccino
2024-06-04,2024-06-04 20:13:01.204,card,ANON-0000-0000-0256,37.72,Hot Chocolate
2024-06-04,2024-06-04 20:50:33.896,card,ANON-0000-0000-0257,37.72,Cappuccino
2024-06-04,2024-06-04 21:31:58.908,card,ANON-0000-0000-0258,27.92,Cortado
2024-06-04,2024-06-04 21:33:02.621,card,ANON-0000-0000-0259,32.82,Americano with Milk
2024-06-04,2024-06-04 21:34:55.667,card,ANON-0000-0000-0260,32.82,Americano with Milk
2024-06-04,2024-06-04 21:36:06.924,card,ANON-0000-0000-0260,32.82,Americano with Milk
2024-06-04,2024-06-04 21:37:15.164,card,ANON-0000-0000-0260,32.82,Americano with Milk
2024-06-05,2024-06-05 08:21:48.964,card,ANON-0000-0000-0261,37.72,Cappuccino
2024-06-05,2024-06-05 08:23:06.723,card,ANON-0000-0000-0261,37.72,Cappuccino
2024-06-05,2024-06-05 09:22:43.108,card,ANON-0000-0000-0262,27.92,Americano
2024-06-05,2024-06-05 10:28:50.620,card,ANON-0000-0000-0001,37.72,Latte
2024-06-05,2024-06-05 10:40:53.188,card,ANON-0000-0000-0097,32.82,Americano with Milk
2024-06-05,2024-06-05 19:43:57.675,card,ANON-0000-0000-0263,32.82,Americano with Milk
2024-06-05,2024-06-05 19:59:53.527,card,ANON-0000-0000-0264,37.72,Latte
2024-06-05,2024-06-05 20:10:47.623,card,ANON-0000-0000-0220,37.72,Cocoa
2024-06-05,2024-06-05 20:12:01.658,card,ANON-0000-0000-0220,27.92,Cortado
2024-06-06,2024-06-06 08:52:56.351,card,ANON-0000-0000-0097,32.82,Americano with Milk
2024-06-06,2024-06-06 08:54:08.455,card,ANON-0000-0000-0097,32.82,Americano with Milk
2024-06-06,2024-06-06 10:36:09.667,card,ANON-0000-0000-0001,37.72,Latte
2024-06-06,2024-06-06 12:17:41.474,card,ANON-0000-0000-0265,27.92,Americano
2024-06-06,2024-06-06 15:11:14.185,card,ANON-0000-0000-0224,32.82,Americano with Milk
2024-06-06,2024-06-06 15:24:06.221,card,ANON-0000-0000-0266,37.72,Cappuccino
2024-06-06,2024-06-06 21:14:05.102,card,ANON-0000-0000-0267,37.72,Latte
2024-06-06,2024-06-06 21:15:42.227,card,ANON-0000-0000-0267,37.72,Latte
2024-06-06,2024-06-06 21:18:26.713,card,ANON-0000-0000-0206,37.72,Cappuccino
2024-06-06,2024-06-06 21:19:30.436,card,ANON-0000-0000-0206,32.82,Americano with Milk
2024-06-06,2024-06-06 21:21:04.440,card,ANON-0000-0000-0267,37.72,Latte
2024-06-07,2024-06-07 08:18:04.296,card,ANON-0000-0000-0268,37.72,Cappuccino
2024-06-07,2024-06-07 10:35:28.104,card,ANON-0000-0000-0269,23.02,Espresso
2024-06-07,2024-06-07 13:34:18.297,card,ANON-0000-0000-0164,32.82,Americano with Milk
2024-06-07,2024-06-07 16:45:42.218,card,ANON-0000-0000-0270,27.92,Cortado
2024-06-07,2024-06-07 16:47:15.481,card,ANON-0000-0000-0270,27.92,Cortado
2024-06-08,2024-06-08 09:04:20.016,card,ANON-0000-0000-0271,27.92,Cortado
2024-06-08,2024-06-08 09:26:11.160,card,ANON-0000-0000-0097,32.82,Americano with Milk
