date,datetime,cash_type,card,money,coffee_name
2024-04-01,2024-04-01 10:28:47.601,card,ANON-0000-0000-0004,28.9,Americano
2024-04-01,2024-04-01 10:29:42.318,card,ANON-0000-0000-0004,33.8,Americano with Milk
2024-04-01,2024-04-01 10:30:43.735,card,ANON-0000-0000-0004,33.8,Americano with Milk
2024-04-01,2024-04-01 11:15:43.836,card,ANON-0000-0000-0009,33.8,Americano with Milk
2024-04-01,2024-04-01 17:01:42.924,cash,,40.0,Cappuccino
2024-04-01,2024-04-01 18:18:42.372,card,ANON-0000-0000-0024,33.8,Americano with Milk
2024-04-01,2024-04-01 18:45:27.436,card,ANON-0000-0000-0090,38.7,Hot Chocolate
2024-04-02,2024-04-02 10:01:14.022,card,ANON-0000-0000-0001,38.7,Latte
2024-04-02,2024-04-02 16:18:34.169,card,ANON-0000-0000-0003,28.9,Americano
2024-04-02,2024-04-02 16:19:28.460,card,ANON-0000-0000-0003,28.9,Cortado
2024-04-02,2024-04-02 19:59:31.942,cash,,40.0,Cappuccino
2024-04-03,2024-04-03 10:19:13.644,card,ANON-0000-0000-0003,28.9,Cortado
2024-04-03,2024-04-03 10:20:07.655,card,ANON-0000-0000-0003,28.9,Americano
2024-04-03,2024-04-03 13:12:05.367,card,ANON-0000-0000-0012,38.7,Cappuccino
2024-04-03,2024-04-03 15:36:11.735,cash,,30.0,Cortado
2024-04-04,2024-04-04 10:44:55.988,card,ANON-0000-0000-0091,38.7,Latte
2024-04-04,2024-04-04 11:26:38.085,card,ANON-0000-0000-0092,38.7,Latte
2024-04-04,2024-04-04 11:27:48.411,card,ANON-0000-0000-0093,38.7,Cappuccino
2024-04-04,2024-04-04 12:23:02.216,card,ANON-0000-0000-0094,28.9,Cortado
2024-04-04,2024-04-04 19:42:07.740,cash,,40.0,Latte
2024-04-05,2024-04-05 10:40:42.728,card,ANON-0000-0000-0095,28.9,Americano
2024-04-05,2024-04-05 10:42:06.204,card,ANON-0000-0000-0012,28.9,Americano
2024-04-05,2024-04-05 11:06:14.643,card,ANON-0000-0000-0096,28.9,Cortado
2024-04-05,2024-04-05 12:14:27.975,card,ANON-0000-0000-0097,33.8,Americano with Milk
2024-04-05,2024-04-05 14:23:40.387,card,ANON-0000-0000-0098,38.7,Latte
2024-04-05,2024-04-05 14:24:50.417,card,ANON-0000-0000-0098,28.9,Cortado
2024-04-05,2024-04-05 15:30:50.383,cash,,40.0,Latte
2024-04-05,2024-04-05 15:54:15.768,cash,,40.0,Cappuccino
2024-04-05,2024-04-05 15:55:30.947,cash,,30.0,Americano
2024-04-05,2024-04-05 16:17:43.975,cash,,40.0,Cocoa
2024-04-05,2024-04-05 16:18:23.558,card,ANON-0000-0000-0003,24.0,Espresso
2024-04-06,2024-04-06 12:32:31.398,card,ANON-0000-0000-0099,33.8,Americano with Milk
2024-04-06,2024-04-06 14:13:18.733,card,ANON-0000-0000-0040,38.7,Cappuccino
2024-04-06,2024-04-06 14:14:27.029,card,ANON-0000-0000-0040,28.9,Americano
2024-04-06,2024-04-06 14:49:50.183,card,ANON-0000-0000-0009,38.7,Latte
2024-04-07,2024-04-07 10:12:53.204,card,ANON-0000-0000-0091,38.7,Latte
2024-04-07,2024-04-07 12:44:31.936,card,ANON-0000-0000-0040,38.7,Cappuccino
2024-04-07,2024-04-07 12:46:05.118,card,ANON-0000-0000-0040,38.7,Cappuccino
2024-04-07,2024-04-07 14:16:24.949,card,ANON-0000-0000-0100,28.9,Cortado
2024-04-07,2024-04-07 14:17:30.628,card,ANON-0000-0000-0100,24.0,Espresso
2024-04-07,2024-04-07 18:01:16.608,card,ANON-0000-0000-0101,38.7,Hot Chocolate
2024-04-07,2024-04-07 18:02:03.878,card,ANON-0000-0000-0101,33.8,Americano with Milk
2024-04-08,2024-04-08 10:58:21.106,card,ANON-0000-0000-0102,33.8,Americano with Milk
2024-04-08,2024-04-08 10:59:27.558,card,ANON-0000-0000-0103,38.7,Cappuccino
2024-04-08,2024-04-08 11:01:20.464,card,ANON-0000-0000-0012,28.9,Americano
2024-04-08,2024-04-08 11:04:47.030,card,ANON-0000-0000-0104,38.7,Cappuccino
2024-04-08,2024-04-08 12:54:25.897,cash,,25.0,Espresso
2024-04-08,2024-04-08 15:43:36.881,cash,,35.0,Americano with Milk
2024-04-08,2024-04-08 16:41:37.806,card,ANON-0000-0000-0017,38.7,Latte
2024-04-08,2024-04-08 18:18:09.713,card,ANON-0000-0000-0105,28.9,Americano
2024-04-08,2024-04-08 19:22:27.477,card,ANON-0000-0000-0024,33.8,Americano with Milk
2024-04-08,2024-04-08 19:23:59.268,card,ANON-0000-0000-0106,38.7,Cappuccino
2024-04-09,2024-04-09 10:22:27.359,cash,,40.0,Cappuccino
2024-04-09,2024-04-09 10:24:10.103,cash,,30.0,Americano
2024-04-09,2024-04-09 11:42:28.468,card,ANON-0000-0000-0091,38.7,Latte
2024-04-09,2024-04-09 15:11:48.720,card,ANON-0000-0000-0107,38.7,Hot Chocolate
2024-04-09,2024-04-09 17:25:23.936,card,ANON-0000-0000-0049,38.7,Hot Chocolate
2024-04-10,2024-04-10 10:21:26.175,cash,,25.0,Espresso
2024-04-10,2024-04-10 17:55:07.018,cash,,40.0,Hot Chocolate
2024-04-10,2024-04-10 17:55:31.244,card,ANON-0000-0000-0108,24.0,Espresso
2024-04-10,2024-04-10 18:24:59.290,card,ANON-0000-0000-0009,38.7,Cappuccino
2024-04-10,2024-04-10 20:04:05.386,card,ANON-0000-0000-0109,38.7,Latte
2024-04-11,2024-04-11 10:41:23.155,card,ANON-0000-0000-0110,28.9,Americano
2024-04-11,2024-04-11 10:42:59.365,card,ANON-0000-0000-0110,28.9,Americano
2024-04-11,2024-04-11 16:35:23.069,card,ANON-0000-0000-0017,38.7,Latte
2024-04-11,2024-04-11 19:16:56.588,card,ANON-0000-0000-0106,38.7,Cappuccino
2024-04-11,2024-04-11 19:18:36.619,card,ANON-0000-0000-0024,33.8,Americano with Milk
2024-04-12,2024-04-12 19:03:43.403,card,ANON-0000-0000-0019,38.7,Hot Chocolate
2024-04-12,2024-04-12 19:38:23.189,card,ANON-0000-0000-0009,28.9,Cortado
2024-04-13,2024-04-13 12:29:19.823,card,ANON-0000-0000-0009,38.7,Latte
2024-04-13,2024-04-13 12:43:02.389,card,ANON-0000-0000-0012,28.9,Americano
2024-04-13,2024-04-13 15:06:52.292,cash,,40.0,Hot Chocolate
2024-04-13,2024-04-13 15:07:55.966,cash,,40.0,Hot Chocolate
2024-04-13,2024-04-13 16:18:03.938,card,ANON-0000-0000-0111,38.7,Cappuccino
2024-04-13,2024-04-13 16:19:39.799,card,ANON-0000-0000-0111,38.7,Latte
2024-04-13,2024-04-13 17:51:26.026,card,ANON-0000-0000-0112,38.7,Cappuccino
2024-04-13,2024-04-13 17:53:19.237,card,ANON-0000-0000-0012,38.7,Cappuccino
2024-04-14,2024-04-14 10:55:27.406,cash,,40.0,Latte
2024-04-14,2024-04-14 12:24:39.028,card,ANON-0000-0000-0113,38.7,Cappuccino
2024-04-14,2024-04-14 12:27:08.951,cash,,30.0,Cortado
2024-04-14,2024-04-14 12:29:06.877,cash,,30.0,Cortado
2024-04-14,2024-04-14 12:31:36.036,cash,,35.0,Americano with Milk
2024-04-14,2024-04-14 13:21:49.808,card,ANON-0000-0000-0114,28.9,Cortado
2024-04-14,2024-04-14 14:23:31.631,card,ANON-0000-0000-0012,28.9,Americano
2024-04-14,2024-04-14 14:24:26.930,card,ANON-0000-0000-0012,28.9,Americano
