date,datetime,cash_type,card,money,coffee_name
2024-07-01,2024-07-01 18:07:26.760,card,ANON-0000-0000-0012,23.02,Espresso
2024-07-01,2024-07-01 18:56:51.844,card,ANON-0000-0000-0338,37.72,Cappuccino
2024-07-01,2024-07-01 18:57:54.267,card,ANON-0000-0000-0339,37.72,Cappuccino
2024-07-02,2024-07-02 10:42:54.057,card,ANON-0000-0000-0304,32.82,Americano with Milk
2024-07-02,2024-07-02 10:45:00.617,card,ANON-0000-0000-0304,27.92,Americano
2024-07-02,2024-07-02 12:48:05.181,card,ANON-0000-0000-0019,37.72,Latte
2024-07-02,2024-07-02 14:03:13.231,card,ANON-0000-0000-0340,27.92,Americano
2024-07-02,2024-07-02 16:31:24.337,card,ANON-0000-0000-0341,32.82,Americano with Milk
2024-07-02,2024-07-02 22:02:23.576,card,ANON-0000-0000-0329,32.82,Americano with Milk
2024-07-03,2024-07-03 13:51:14.935,card,ANON-0000-0000-0012,32.82,Americano with Milk
2024-07-03,2024-07-03 16:01:16.554,card,ANON-0000-0000-0342,37.72,Cappuccino
2024-07-03,2024-07-03 16:50:25.223,card,ANON-0000-0000-0343,37.72,Cappuccino
2024-07-03,2024-07-03 16:53:15.618,card,ANON-0000-0000-0270,32.82,Americano with Milk
2024-07-03,2024-07-03 16:54:22.907,card,ANON-0000-0000-0344,32.82,Americano with Milk
2024-07-03,2024-07-03 16:55:31.423,card,ANON-0000-0000-0270,37.72,Latte
2024-07-03,2024-07-03 16:59:25.580,card,ANON-0000-0000-0345,23.02,Espresso
2024-07-03,2024-07-03 17:59:01.827,card,ANON-0000-0000-0346,37.72,Cappuccino
2024-07-03,2024-07-03 19:06:09.136,card,ANON-0000-0000-0009,37.72,Latte
2024-07-04,2024-07-04 10:26:23.725,card,ANON-0000-0000-0143,32.82,Americano with Milk
2024-07-04,2024-07-04 10:27:30.261,card,ANON-0000-0000-0012,27.92,Americano
2024-07-05,2024-07-05 12:20:28.670,card,ANON-0000-0000-0058,37.72,Cocoa
2024-07-05,2024-07-05 13:43:43.134,card,ANON-0000-0000-0040,32.82,Americano with Milk
2024-07-05,2024-07-05 13:44:43.829,card,ANON-0000-0000-0347,32.82,Americano with Milk
2024-07-05,2024-07-05 18:55:56.308,card,ANON-0000-0000-0348,23.02,Espresso
2024-07-05,2024-07-05 19:55:07.812,card,ANON-0000-0000-0099,27.92,Americano
2024-07-05,2024-07-05 22:11:56.471,card,ANON-0000-0000-0349,23.02,Espresso
2024-07-05,2024-07-05 22:18:03.324,card,ANON-0000-0000-0350,27.92,Americano
2024-07-05,2024-07-05 22:18:56.945,card,ANON-0000-0000-0350,27.92,Americano
2024-07-05,2024-07-05 22:20:01.149,card,ANON-0000-0000-0351,37.72,Cappuccino
2024-07-05,2024-07-05 22:21:09.457,card,ANON-0000-0000-0351,32.82,Americano with Milk
2024-07-06,2024-07-06 10:28:06.826,card,ANON-0000-0000-0352,37.72,Latte
2024-07-06,2024-07-06 17:15:46.042,card,ANON-0000-0000-0009,32.82,Latte
2024-07-06,2024-07-06 17:17:01.046,card,ANON-0000-0000-0009,32.82,Latte
2024-07-06,2024-07-06 19:09:46.107,card,ANON-0000-0000-0012,32.82,Latte
2024-07-06,2024-07-06 19:10:39.580,card,ANON-0000-0000-0012,27.92,Americano with Milk
2024-07-07,2024-07-07 09:04:20.169,card,ANON-0000-0000-0303,32.82,Cappuccino
2024-07-07,2024-07-07 09:14:29.225,card,ANON-0000-0000-0353,27.92,Americano with Milk
2024-07-07,2024-07-07 09:15:36.815,card,ANON-0000-0000-0353,27.92,Americano with Milk
2024-07-07,2024-07-07 09:28:48.876,card,ANON-0000-0000-0354,32.82,Cappuccino
2024-07-07,2024-07-07 09:29:56.189,card,ANON-0000-0000-0354,32.82,Cappuccino
2024-07-07,2024-07-07 14:56:30.193,card,ANON-0000-0000-0355,32.82,Hot Chocolate
2024-07-07,2024-07-07 14:57:47.411,card,ANON-0000-0000-0355,32.82,Cocoa
2024-07-07,2024-07-07 17:07:50.284,card,ANON-0000-0000-0356,32.82,Latte
2024-07-07,2024-07-07 19:33:27.187,card,ANON-0000-0000-0357,32.82,Cappuccino
2024-07-07,2024-07-07 20:01:31.653,card,ANON-0000-0000-0358,32.82,Hot Chocolate
2024-07-07,2024-07-07 22:33:36.255,card,ANON-0000-0000-0359,27.92,Americano with Milk
2024-07-08,2024-07-08 07:33:07.724,card,ANON-0000-0000-0360,32.82,Latte
2024-07-08,2024-07-08 12:02:50.421,card,ANON-0000-0000-0361,23.02,Americano
2024-07-08,2024-07-08 14:40:24.350,card,ANON-0000-0000-0362,23.02,Americano
2024-07-08,2024-07-08 19:30:34.976,card,ANON-0000-0000-0363,27.92,Americano with Milk
2024-07-08,2024-07-08 22:14:46.180,card,ANON-0000-0000-0019,32.82,Latte
2024-07-09,2024-07-09 10:26:52.138,card,ANON-0000-0000-0333,27.92,Americano with Milk
2024-07-09,2024-07-09 10:40:28.767,card,ANON-0000-0000-0276,27.92,Americano with Milk
2024-07-09,2024-07-09 11:21:36.103,card,ANON-0000-0000-0194,27.92,Americano with Milk
2024-07-09,2024-07-09 11:22:49.904,card,ANON-0000-0000-0194,32.82,Cappuccino
2024-07-09,2024-07-09 16:42:59.535,card,ANON-0000-0000-0364,27.92,Americano with Milk
